,District,Type,Population,Area sqmi,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Families,Avg Residential Value,Liquor Licenses,Faith Orgs,Parks,Total A Offenses,Assault Offenses,Arson,Burglary,Criminal Damages,Locked Vehicle,Robbery,Sex Offense,Theft,Vehicle Theft,Homicide
0,186500,CensusTract,1667,0.45,125,252,222,590,351,127,953,714,299,96878.0,65,5,3,5106,595,22,246,753,1597,239,48,1108,494,4
0,186600,CensusTract,2152,0.4,287,490,258,672,341,104,1084,1068,455,71532.0,6,0,11,2022,503,14,226,319,170,107,39,455,186,3
0,186800,CensusTract,1614,2.22,129,173,144,419,522,227,964,650,200,406457.0,8,0,5,3083,316,13,193,483,528,120,51,1058,318,3
0,186900,CensusTract,2213,0.18,28,19,241,801,439,685,996,1217,294,464347.0,3,0,10,665,29,0,44,95,239,18,5,200,35,0
0,18700,CensusTract,3876,0.19,440,932,420,1256,643,185,1919,1957,852,87863.0,4,1,8,2535,517,34,295,428,213,145,57,515,325,6
0,187000,CensusTract,3288,0.14,60,45,725,1347,652,459,1640,1648,312,506484.0,19,2,4,2446,97,5,160,412,889,102,18,556,206,1
0,187400,CensusTract,2341,0.68,42,18,480,1255,484,62,1258,1083,312,433616.0,86,0,0,5267,183,5,297,807,2179,93,22,1357,323,1
0,18800,CensusTract,2066,0.36,243,512,247,636,339,89,1051,1015,461,75138.0,3,1,1,1533,261,19,226,297,95,82,22,319,209,3
0,18900,CensusTract,1635,0.24,135,360,173,522,334,111,804,831,370,106558.0,3,5,0,1283,124,7,158,302,186,30,18,288,169,1
0,1900,CensusTract,3518,0.38,328,883,379,930,764,234,1508,2010,853,58480.0,1,2,1,3043,686,17,350,439,166,224,70,651,433,7
0,19000,CensusTract,4545,0.97,412,685,353,1489,1119,487,2223,2322,1143,145966.0,0,1,7,2077,247,9,345,422,333,57,20,486,157,1
0,19100,CensusTract,3584,0.61,246,511,477,1000,874,476,1567,2017,799,190646.0,5,5,0,1681,205,4,211,314,312,38,28,431,137,1
0,19200,CensusTract,3186,0.54,186,459,223,949,912,457,1574,1612,821,137386.0,3,1,2,935,122,3,119,155,151,49,12,252,72,0
0,19300,CensusTract,2557,0.35,177,340,171,803,679,387,1233,1324,682,130117.0,1,0,1,633,70,1,128,142,101,11,6,134,40,0
0,19400,CensusTract,3732,0.5,265,524,267,1061,954,661,1740,1992,946,192462.0,7,2,1,981,145,7,145,210,137,30,22,231,54,0
0,19500,CensusTract,3350,0.5,257,597,230,937,870,459,1607,1743,924,160634.0,1,1,1,601,84,1,89,135,70,19,9,157,37,0
0,19600,CensusTract,3616,0.5,226,470,221,921,968,810,1709,1907,902,168075.0,2,2,5,990,123,2,134,163,156,41,13,301,56,1
0,19700,CensusTract,5344,0.73,375,839,469,1537,1359,765,2572,2772,1407,187885.0,3,2,3,1213,167,1,135,226,196,35,28,335,88,2
0,19800,CensusTract,4913,0.79,340,659,345,1375,1351,843,2328,2585,1280,137005.0,6,3,2,1721,270,5,232,321,261,53,38,435,104,2
0,19900,CensusTract,3479,0.39,229,533,246,1024,909,538,1731,1748,951,133677.0,4,1,1,931,151,4,113,193,128,29,17,217,78,1
0,2000,CensusTract,2470,0.42,210,573,266,643,578,200,1140,1330,607,52377.0,0,2,2,3225,721,23,468,508,181,206,46,638,425,9
