District,Type,Population,Area sqmi,18 to 24,Male,Liquor Licenses,Faith Orgs,Parks,Avg Residential Value,Total A Offenses
11200,CensusTract,2219,0.15,0.183866607,0.548445246,0.011266336,0.000450653,0.00135196,235259,1824
11300,CensusTract,1829,0.18,0.347184254,0.56697649,0.009841443,0.001093494,0,552147,2728
11400,CensusTract,1137,0.21,0.18469657,0.511873351,0.004397537,0,0,331733,1518
12200,CensusTract,2557,0.19,0.132968322,0.480641377,0.000782167,0.000782167,0,58116,3012
12300,CensusTract,1122,0.3,0.115864528,0.491087344,0.003565062,0.000891266,0.004456328,85187,2091
12400,CensusTract,2592,0.51,0.105324074,0.477623457,0.002314815,0.000385802,0.001929012,123888,1539
12500,CensusTract,2014,0.69,0.088381331,0.495034757,0.00347567,0.001489573,0.004965243,196699,899
12600,CensusTract,2169,0.3,0.076532964,0.486860304,0.005071462,0.001383126,0.000922084,129179,904
12700,CensusTract,1189,0.39,0.121110177,0.500420521,0.000841043,0.001682086,0.004205214,139128,743
12800,CensusTract,2958,1.05,0.237660581,0.474983097,0.000676133,0.002028398,0.002028398,163169,1120
12900,CensusTract,2942,0.4,0.085316111,0.498640381,0.001359619,0.001359619,0,118007,1320
13000,CensusTract,1800,0.26,0.090555556,0.483888889,0.001111111,0,0.001111111,121738,844
13300,CensusTract,1066,0.23,0.115384615,0.512195122,0.001876173,0,0.008442777,69790,1146
13400,CensusTract,2335,0.2,0.15117773,0.48137045,0.000428266,0.000856531,0.000428266,69525,2873
13500,CensusTract,1911,0.1,0.165881737,0.556776557,0.002093145,0.002093145,0,291885,2915
13600,CensusTract,2489,0.15,0.124949779,0.469666533,0.000803536,0.000401768,0,157022,3016
13700,CensusTract,1578,0.12,0.128643853,0.51774398,0.002534854,0,0,126741,2988
14100,CensusTract,1551,0.26,0.169568021,0.387491941,0.001934236,0.000644745,0,3583333,2608
14300,CensusTract,2297,0.1,0.20940357,0.536351763,0.003482804,0.000870701,0.00043535,756375,1396
14400,CensusTract,2612,0.23,0.378254211,0.602986217,0.024502297,0.000765697,0.000765697,470316,3950
14600,CensusTract,3946,0.15,0.754434871,0.499239736,0.000760264,0.001013685,0,629733,2043
14700,CensusTract,3291,0.1,0.751747189,0.515041021,0.002127013,0,0.000303859,458634,1742
14800,CensusTract,2403,0.13,0.53849355,0.509779442,0.002913025,0.000832293,0,276082,2215
14900,CensusTract,1483,0.14,0.335805799,0.533378287,0.003371544,0.001348618,0,259772,2603
15700,CensusTract,3231,0.19,0.128752708,0.544103993,0.00185701,0.001238007,0.000309502,51627,2988
15800,CensusTract,3058,0.17,0.119359058,0.5206017,0.002616089,0.000327011,0.000327011,64425,3513
15900,CensusTract,3819,0.18,0.101073579,0.506415292,0.000523697,0.002618487,0.000261849,88384,3124
16000,CensusTract,3310,0.15,0.119939577,0.51570997,0.003323263,0.00060423,0.000302115,83597,2576
16100,CensusTract,3574,0.23,0.113318411,0.510912143,0.001398993,0.000559597,0.000279799,81931,2349
16200,CensusTract,3366,0.18,0.117052882,0.494355318,0.001485443,0.001188354,0,75701,2669
16300,CensusTract,5124,0.22,0.131147541,0.512490242,0.00175644,0.00078064,0,52905,4366
16400,CensusTract,4948,0.18,0.127324171,0.54021827,0.000808407,0.001818917,0.000404204,49196,4126
16500,CensusTract,2695,0.6,0.121706865,0.524304267,0.003710575,0.001855288,0.000742115,56326,2385
16600,CensusTract,2313,0.25,0.12797233,0.50843061,0.003458712,0.000864678,0.002594034,83376,2151
16700,CensusTract,3355,0.19,0.124590164,0.513263785,0.002980626,0.000894188,0,62816,3858
