District,Type,Population,Area (Sq. Mile),% Pop 18 to 24,% Male,Liquor Licenses/Sq. Mi.,Faith Orgs/Sq. Mi.,Parks/Sq. Mi.,Avg Residential Value,Total Offenses
14700,CensusTract,0.40647212,-0.670813785,5.194190951,0.774698353,1.305421512,-0.835064557,0.353148338,1.071105765,-0.662713177
14800,CensusTract,-0.404401158,-0.614591322,3.390449819,0.64465006,0.85555809,0.149260164,-0.670455622,0.41773174,-0.30713125
14900,CensusTract,-1.244495095,-0.595850501,1.676077041,1.227933044,0.350609655,0.078951445,-0.670455622,0.359356426,-0.015448824
15700,CensusTract,0.351683385,-0.502146397,-0.075218638,1.493035925,0.235445891,0.511906268,-0.131716161,-0.385617808,0.273978326
15800,CensusTract,0.193709199,-0.539628038,-0.154671974,0.912139378,0.666540128,-0.458705256,-0.068335845,-0.339812335,0.668651713
15900,CensusTract,0.888612988,-0.520887218,-0.309334144,0.561499743,-0.334556399,2.719441897,-0.101785981,-0.254060394,0.376217527
16000,CensusTract,0.423821886,-0.57710968,-0.14976183,0.791232491,1.398250603,0.018017388,0.011947482,-0.271193602,-0.035746312
16100,CensusTract,0.66489232,-0.427183113,-0.205764952,0.672646567,-0.038579797,-0.278707218,-0.225409685,-0.277156403,-0.206395567
16200,CensusTract,0.474958039,-0.520887218,-0.174178063,0.263418307,0.129588614,0.586737606,-0.670455622,-0.29945427,0.034167259
16300,CensusTract,2.080267974,-0.445923934,-0.054962671,0.711651793,0.495277987,0.328228063,-0.670455622,-0.381043703,1.309901996
16400,CensusTract,1.919554351,-0.520887218,-0.087301485,1.396994101,-0.025126783,2.363991127,0.466882937,-0.394318629,1.129479876
16500,CensusTract,-0.137762648,0.266227259,-0.134813761,1.003654209,-0.179841351,-0.301888564,-0.329254305,-0.368799561,-0.179332249
16600,CensusTract,-0.486584261,-0.389701471,-0.081819229,0.611311533,0.247171847,-0.323215668,1.786194221,-0.271984586,-0.355243816
16700,CensusTract,0.464913437,-0.502146397,-0.110426252,0.730771139,0.821734015,0.175163655,-0.670455622,-0.345571126,0.928008509
16800,CensusTract,0.551662268,-0.483405576,-0.119830946,1.126522728,1.02693484,-0.195253674,-0.670455622,-0.370413741,1.410637679
16900,CensusTract,1.172601264,-0.520887218,-0.220111194,0.576490355,0.593733093,-0.124162665,-0.101786152,-0.365750158,0.750593425
17000,CensusTract,2.98245581,-0.35221983,-0.196911149,0.758802743,-0.231413128,0.112803276,-0.670455622,-0.275735495,0.779160261
17100,CensusTract,0.083218583,-0.370960651,-0.285872089,0.5754552,0.10578602,-0.096821378,0.510625375,-0.24299378,-0.365768439
17200,CensusTract,-0.307607726,-0.520887218,-0.355160135,0.644289322,0.439018149,-0.479614125,-0.101786974,-0.25843049,-0.81532022
17300,CensusTract,0.957098906,-0.483405576,-0.180268489,0.872639671,0.191474366,0.124651977,-0.158654307,-0.287922371,0.02740143
17400,CensusTract,0.097828913,-0.614591322,-0.095860723,1.152049997,1.926661301,-0.34290174,-0.670455622,-0.359504608,0.09806676
17500,CensusTract,1.222824271,-0.502146397,-0.131465305,0.677564378,0.675162208,1.185391713,-0.131715836,-0.326322662,1.012205498
17600,CensusTract,0.318810144,-0.520887218,-0.171488272,0.584732127,0.129588326,0.231287027,-0.10178682,-0.305592446,0.024394394
17900,CensusTract,0.143486192,-0.408442292,-0.212229534,1.13134659,1.908809515,-0.30188842,-0.243954386,0.053660905,-0.374789545
